,datetime,price
680,2022-01-12-11:40,132.47
681,2022-01-12-11:35,132.14
682,2022-01-12-11:30,132.07
683,2022-01-12-11:25,131.59
684,2022-01-12-11:20,131.71
685,2022-01-12-11:15,131.75
686,2022-01-12-11:10,131.68
687,2022-01-12-11:05,131.717
688,2022-01-12-11:00,132.02
689,2022-01-12-10:55,131.76
690,2022-01-12-10:50,131.605
691,2022-01-12-10:45,131.5
692,2022-01-12-10:40,132.04
693,2022-01-12-10:35,131.8
694,2022-01-12-10:30,131.88
695,2022-01-12-10:25,131.869
696,2022-01-12-10:20,131.91
697,2022-01-12-10:15,132.171
698,2022-01-12-10:10,131.911
699,2022-01-12-10:05,132.2
700,2022-01-12-10:00,132.2
701,2022-01-12-09:55,132.61
702,2022-01-12-09:50,132.54
703,2022-01-12-09:45,132.705
704,2022-01-12-09:40,132.59
705,2022-01-12-09:35,133.42
706,2022-01-12-09:30,133.4
707,2022-01-12-09:20,132.81
708,2022-01-12-09:10,133.28
709,2022-01-12-08:40,133.0
710,2022-01-12-08:35,132.81
711,2022-01-12-08:30,132.68
712,2022-01-12-08:25,132.68
713,2022-01-12-08:10,132.68
714,2022-01-12-08:05,132.7
715,2022-01-12-07:55,132.7
716,2022-01-12-07:35,132.8
717,2022-01-12-07:20,132.7
718,2022-01-11-20:00,132.85
719,2022-01-11-19:50,132.8
720,2022-01-11-19:30,132.75
721,2022-01-11-18:40,132.66
722,2022-01-11-18:30,132.78
723,2022-01-11-18:15,132.68
724,2022-01-11-17:40,132.84
725,2022-01-11-17:35,132.65
726,2022-01-11-17:30,132.71
727,2022-01-11-17:10,132.75
728,2022-01-11-17:05,132.82
729,2022-01-11-16:50,132.75
730,2022-01-11-16:45,132.74
731,2022-01-11-16:30,132.55
732,2022-01-11-16:25,132.5
733,2022-01-11-16:20,132.95
734,2022-01-11-16:15,132.52
735,2022-01-11-16:10,132.77
736,2022-01-11-16:05,132.87
737,2022-01-11-16:00,132.83
738,2022-01-11-15:55,132.66
739,2022-01-11-15:50,132.84
740,2022-01-11-15:45,132.935
741,2022-01-11-15:40,132.9053
742,2022-01-11-15:35,132.98
743,2022-01-11-15:30,132.595
744,2022-01-11-15:25,132.67
745,2022-01-11-15:20,132.74
746,2022-01-11-15:15,132.885
747,2022-01-11-15:10,132.78
748,2022-01-11-15:05,132.56
749,2022-01-11-15:00,132.245
750,2022-01-11-14:55,132.345
751,2022-01-11-14:50,132.348
752,2022-01-11-14:45,132.3004
753,2022-01-11-14:40,132.0683
754,2022-01-11-14:35,131.83
755,2022-01-11-14:30,131.83
756,2022-01-11-14:25,131.77
757,2022-01-11-14:20,131.5466
758,2022-01-11-14:15,131.43
759,2022-01-11-14:10,131.315
760,2022-01-11-14:05,131.21
761,2022-01-11-14:00,131.489
762,2022-01-11-13:55,131.4565
763,2022-01-11-13:50,131.43
764,2022-01-11-13:45,131.31
765,2022-01-11-13:40,131.38
766,2022-01-11-13:35,131.27
767,2022-01-11-13:30,131.4982
768,2022-01-11-13:25,131.595
769,2022-01-11-13:20,131.475
770,2022-01-11-13:15,131.4196
771,2022-01-11-13:10,131.2563
772,2022-01-11-13:05,131.26
773,2022-01-11-13:00,131.67
774,2022-01-11-12:55,131.6044
775,2022-01-11-12:50,131.44
776,2022-01-11-12:45,131.4544
777,2022-01-11-12:40,131.39
778,2022-01-11-12:35,131.16
779,2022-01-11-12:30,131.07
780,2022-01-11-12:25,131.38
