datetime,price,S_avg,S_std,signal,pnl
2022-01-19 05:35:00,170.26,170.27205026455027,0.5777304233703873,-1.0,0.010000000000019327
2022-01-19 05:40:00,170.28,170.27220899470902,0.5777284540976109,-1.0,-0.020000000000010232
2022-01-19 05:50:00,170.17,170.27301861702128,0.5791580673510364,-1.0,0.11000000000001364
2022-01-19 05:55:00,170.18,170.27252645502645,0.5776553268488621,-1.0,-0.010000000000019327
2022-01-19 06:00:00,170.35,170.27353174603175,0.5776237831304418,-1.0,-0.1699999999999875
2022-01-19 06:05:00,170.49,170.27797619047618,0.5760300186237288,-1.0,-0.14000000000001478
2022-01-19 06:10:00,170.46,170.28046296296296,0.575794654778989,-1.0,0.030000000000001137
2022-01-19 06:15:00,170.4,170.28257936507936,0.5754933413183438,-1.0,0.060000000000002274
2022-01-19 06:20:00,170.22,170.28289682539685,0.5754419096423863,-1.0,0.18000000000000682
2022-01-19 06:25:00,170.16,170.28289682539685,0.5754419096423863,-1.0,0.060000000000002274
2022-01-19 06:30:00,170.03,170.28252645502644,0.5755827629997233,-1.0,0.12999999999999545
2022-01-19 06:35:00,170.09,170.28247354497356,0.5756000902283688,-1.0,-0.060000000000002274
2022-01-19 06:45:00,170.12,170.28200797872339,0.5772459303049925,-1.0,-0.030000000000001137
2022-01-19 06:50:00,170.2,170.28238031914893,0.5771699274205507,-1.0,-0.07999999999998408
2022-01-19 06:55:00,170.28,170.28371010638296,0.5768732601183644,-1.0,-0.0800000000000125
2022-01-19 07:00:00,170.25,170.2845079787234,0.5767215246502008,-1.0,0.030000000000001137
2022-01-19 07:05:00,170.3,170.28402925531915,0.576670841103615,-1.0,-0.05000000000001137
2022-01-19 07:10:00,170.25,170.2828590425532,0.5765146377715689,-1.0,0.05000000000001137
2022-01-19 07:15:00,170.26,170.2819015957447,0.5764017267836564,-1.0,-0.009999999999990905
2022-01-19 07:20:00,170.08,170.28089095744681,0.5765892445898106,-1.0,0.1799999999999784
2022-01-19 07:25:00,170.1,170.28136968085107,0.5764004609894101,-1.0,-0.01999999999998181
2022-01-19 07:30:00,170.15,170.28168882978724,0.5763105380710135,-1.0,-0.05000000000001137
2022-01-19 07:35:00,170.18,170.28211436170213,0.5762051918905731,-1.0,-0.030000000000001137
2022-01-19 07:40:00,170.03,170.2810505319149,0.5764864817925786,-1.0,0.15000000000000568
2022-01-19 07:45:00,169.9,170.27892287234042,0.5771539311797399,-1.0,0.12999999999999545
2022-01-19 07:50:00,170.09,170.27668882978722,0.5770675563865538,-1.0,-0.18999999999999773
2022-01-19 07:55:00,170.15,170.27429521276596,0.5766524509861453,-1.0,-0.060000000000002274
2022-01-19 08:00:00,170.24,170.27238031914894,0.5761626162922794,-1.0,-0.09000000000000341
2022-01-19 08:05:00,170.45,170.2713164893617,0.5756460576928977,-1.0,-0.20999999999997954
2022-01-19 08:10:00,170.61,170.2717420212766,0.5758678318638787,-1.0,-0.160000000000025
2022-01-19 08:15:00,170.63,170.27243351063828,0.5762213267722865,-1.0,-0.01999999999998181
2022-01-19 08:20:00,170.65,170.27408244680848,0.5768589124538475,-1.0,-0.020000000000010232
2022-01-19 08:25:00,170.76,170.27626329787233,0.5779214949404728,-1.0,-0.10999999999998522
2022-01-19 08:30:00,170.85,170.2779654255319,0.5791427620645193,-1.0,-0.09000000000000341
2022-01-19 08:35:00,170.56,170.27722074468085,0.5786870231341451,-1.0,0.28999999999999204
2022-01-19 08:40:00,170.65,170.27722074468085,0.5786870231341451,-1.0,-0.09000000000000341
2022-01-19 08:45:00,170.51,170.27780585106385,0.5788674102320103,-1.0,0.14000000000001478
2022-01-19 08:50:00,170.49,170.27775265957447,0.5788473429700683,-1.0,0.01999999999998181
2022-01-19 08:55:00,170.48,170.27668882978725,0.5782876363042856,-1.0,0.010000000000019327
2022-01-19 09:00:00,170.72,170.27695478723402,0.5784809547459008,-1.0,-0.2400000000000091
2022-01-19 09:05:00,170.57,170.2758909574468,0.5777528353845022,-1.0,0.15000000000000568
2022-01-19 09:10:00,170.42,170.27307180851065,0.5757354729990773,-1.0,0.15000000000000568
2022-01-19 09:15:00,170.4,170.2710505319149,0.5746121971021603,-1.0,0.01999999999998181
2022-01-19 09:20:00,170.42,170.26945478723405,0.5737747126582733,-1.0,-0.01999999999998181
2022-01-19 09:25:00,170.27,170.2665824468085,0.5724042446697443,-1.0,0.14999999999997726
2022-01-19 09:30:00,169.9,170.25807180851064,0.5658242041983017,-1.0,0.37000000000000455
2022-01-19 09:35:00,169.4694,170.24636648936172,0.559182309335945,-1.0,0.4305999999999983
2022-01-19 09:40:00,170.2301,170.24094148936172,0.5543195439204204,-1.0,-0.7606999999999857
2022-01-19 09:45:00,170.02,170.2293989361702,0.5358009549398123,-1.0,0.21009999999998286
2022-01-19 09:50:00,170.29,170.22626063829784,0.5336936030831064,-1.0,-0.2699999999999818
2022-01-19 09:55:00,170.36,170.2235,0.5316374762968228,-1.0,-0.0700000000000216
2022-01-19 10:00:00,170.9315,170.2225505319149,0.530203241375925,1.0,-0.5714999999999861
2022-01-19 10:05:00,170.77,170.2200505319149,0.5264750946567941,1.0,-0.16149999999998954
2022-01-19 10:10:00,170.7118,170.21388989361702,0.5136857784563175,1.0,-0.05819999999999936
2022-01-19 10:15:00,170.9799,170.20954893617022,0.5035936217638836,1.0,0.2680999999999756
2022-01-19 10:20:00,170.31,170.20154361702126,0.4897068396322654,1.0,-0.6698999999999842
2022-01-19 10:25:00,170.0501,170.1907994680851,0.4702661398604367,1.0,-0.259900000000016
2022-01-19 10:30:00,169.87,170.17782074468084,0.4444267390232715,1.0,-0.18009999999998172
2022-01-19 10:35:00,169.8279,170.16812872340424,0.43183975021505616,1.0,-0.04210000000000491
2022-01-19 10:40:00,169.28,170.15657765957448,0.4263336507294365,-1.0,-0.5478999999999985
2022-01-19 10:45:00,169.13,170.1412585106383,0.4108407940499477,-1.0,0.15000000000000568
2022-01-19 10:50:00,168.7,170.1266840425532,0.41311599381166614,-1.0,0.4300000000000068
2022-01-19 10:55:00,168.815,170.11452925531916,0.41791130528635995,-1.0,-0.1150000000000091
2022-01-19 11:00:00,168.895,170.10290638297874,0.4212856008686099,-1.0,-0.0800000000000125
2022-01-19 11:05:00,168.9389,170.09220904255318,0.42517615785929797,-1.0,-0.0438999999999794
2022-01-19 11:10:00,168.865,170.08186382978724,0.4312382520390583,-1.0,0.07389999999998054
2022-01-19 11:15:00,168.2701,170.06846010638296,0.4479482501552925,-1.0,0.5948999999999955
2022-01-19 11:20:00,168.1022,170.05469468085104,0.4680548942547413,-1.0,0.16790000000000305
2022-01-19 11:25:00,167.77,170.03940212765957,0.4948639965442591,-1.0,0.3322000000000003
2022-01-19 11:30:00,167.78,170.02456223404255,0.5200605081099836,-1.0,-0.009999999999990905
2022-01-19 11:35:00,167.69,170.01065265957448,0.5468027156900717,-1.0,0.09000000000000341
2022-01-19 11:40:00,167.75,169.9953335106383,0.5692408417620435,-1.0,-0.060000000000002274
2022-01-19 11:45:00,167.43,169.97847180851065,0.5974832836388282,-1.0,0.3199999999999932
2022-01-19 11:50:00,167.7649,169.9614234042553,0.6145236990293178,-1.0,-0.33490000000000464
2022-01-19 11:55:00,168.215,169.9459180851064,0.6216150642644482,-1.0,-0.45009999999999195
2022-01-19 12:00:00,168.33,169.93105425531914,0.6266736949389525,-1.0,-0.1150000000000091
2022-01-19 12:05:00,168.5609,169.91981436170212,0.6322027881153185,-1.0,-0.23089999999999122
2022-01-19 12:10:00,168.8161,169.91133617021276,0.6362684428015932,-1.0,-0.2552000000000021
2022-01-19 12:15:00,169.08,169.9046340425532,0.6383616262698251,-1.0,-0.2639000000000067
2022-01-19 12:20:00,168.855,169.89771914893618,0.6426615778064712,-1.0,0.22500000000002274
2022-01-19 12:25:00,169.035,169.893064893617,0.6457332647791671,-1.0,-0.18000000000000682
2022-01-19 12:30:00,169.04,169.8879585106383,0.6486722081018067,-1.0,-0.0049999999999954525
2022-01-19 12:35:00,168.96,169.88242659574468,0.6521369397343002,-1.0,0.07999999999998408
2022-01-19 12:40:00,168.9401,169.877560106383,0.6557463757091865,-1.0,0.019900000000006912
2022-01-19 12:45:00,168.96,169.87261329787233,0.659151050571423,-1.0,-0.019900000000006912
