,datetime,price
572,2022-01-18-19:50,169.56
573,2022-01-18-19:45,169.6
574,2022-01-18-19:40,169.51
575,2022-01-18-19:35,169.6
576,2022-01-18-19:30,169.6
577,2022-01-18-19:25,169.5
578,2022-01-18-19:20,169.46
579,2022-01-18-19:15,169.54
580,2022-01-18-19:10,169.6
581,2022-01-18-19:05,169.54
582,2022-01-18-19:00,169.5
583,2022-01-18-18:55,169.56
584,2022-01-18-18:50,169.67
585,2022-01-18-18:45,169.66
586,2022-01-18-18:40,169.6
587,2022-01-18-18:35,169.69
588,2022-01-18-18:30,169.89
589,2022-01-18-18:25,169.82
590,2022-01-18-18:20,169.95
591,2022-01-18-18:15,170.14
592,2022-01-18-18:10,170.0
593,2022-01-18-18:05,170.08
594,2022-01-18-18:00,169.92
595,2022-01-18-17:55,169.9
596,2022-01-18-17:50,169.85
597,2022-01-18-17:45,169.97
598,2022-01-18-17:40,170.0
599,2022-01-18-17:35,169.95
600,2022-01-18-17:30,169.99
601,2022-01-18-17:25,169.9501
602,2022-01-18-17:20,170.0
603,2022-01-18-17:15,170.01
604,2022-01-18-17:10,170.06
605,2022-01-18-17:05,170.18
606,2022-01-18-17:00,170.21
607,2022-01-18-16:55,170.2
608,2022-01-18-16:50,170.2
609,2022-01-18-16:45,170.19
610,2022-01-18-16:40,170.12
611,2022-01-18-16:35,170.2
612,2022-01-18-16:30,170.2
613,2022-01-18-16:25,170.15
614,2022-01-18-16:20,170.05
615,2022-01-18-16:15,169.95
616,2022-01-18-16:10,169.76
617,2022-01-18-16:05,169.8
618,2022-01-18-16:00,169.83
619,2022-01-18-15:55,169.49
620,2022-01-18-15:50,170.2483
621,2022-01-18-15:45,169.85
622,2022-01-18-15:40,170.175
623,2022-01-18-15:35,170.24
624,2022-01-18-15:30,170.34
625,2022-01-18-15:25,170.2213
626,2022-01-18-15:20,170.03
627,2022-01-18-15:15,170.4599
628,2022-01-18-15:10,170.55
629,2022-01-18-15:05,170.5666
630,2022-01-18-15:00,170.57
631,2022-01-18-14:55,170.66
632,2022-01-18-14:50,170.52
633,2022-01-18-14:45,170.27
634,2022-01-18-14:40,170.395
635,2022-01-18-14:35,170.32
636,2022-01-18-14:30,170.16
637,2022-01-18-14:25,170.16
638,2022-01-18-14:20,170.52
639,2022-01-18-14:15,170.14
640,2022-01-18-14:10,170.24
641,2022-01-18-14:05,170.35
642,2022-01-18-14:00,170.345
643,2022-01-18-13:55,170.09
644,2022-01-18-13:50,170.08
645,2022-01-18-13:45,170.21
646,2022-01-18-13:40,170.1799
647,2022-01-18-13:35,169.91
648,2022-01-18-13:30,169.755
649,2022-01-18-13:25,169.79
650,2022-01-18-13:20,170.08
651,2022-01-18-13:15,170.07
652,2022-01-18-13:10,169.815
653,2022-01-18-13:05,169.7312
654,2022-01-18-13:00,169.76
655,2022-01-18-12:55,169.765
656,2022-01-18-12:50,169.86
657,2022-01-18-12:45,169.89
658,2022-01-18-12:40,169.855
659,2022-01-18-12:35,170.0
660,2022-01-18-12:30,170.0
661,2022-01-18-12:25,169.91
662,2022-01-18-12:20,170.155
663,2022-01-18-12:15,170.34
664,2022-01-18-12:10,170.41
665,2022-01-18-12:05,170.674
666,2022-01-18-12:00,171.1244
667,2022-01-18-11:55,171.13
668,2022-01-18-11:50,170.97
669,2022-01-18-11:45,170.6
670,2022-01-18-11:40,170.63
671,2022-01-18-11:35,170.305
672,2022-01-18-11:30,170.5699
673,2022-01-18-11:25,170.645
674,2022-01-18-11:20,170.6901
675,2022-01-18-11:15,170.79
676,2022-01-18-11:10,170.8099
677,2022-01-18-11:05,170.95
678,2022-01-18-11:00,171.0801
679,2022-01-18-10:55,171.1001
680,2022-01-18-10:50,171.44
681,2022-01-18-10:45,172.01
682,2022-01-18-10:40,171.4516
683,2022-01-18-10:35,171.65
684,2022-01-18-10:30,172.31
685,2022-01-18-10:25,172.07
686,2022-01-18-10:20,171.815
687,2022-01-18-10:15,171.796
688,2022-01-18-10:10,171.87
689,2022-01-18-10:05,171.24
690,2022-01-18-10:00,171.11
691,2022-01-18-09:55,170.879
692,2022-01-18-09:50,170.88
693,2022-01-18-09:45,172.19
694,2022-01-18-09:40,171.25
695,2022-01-18-09:35,171.67
696,2022-01-18-09:30,171.5
697,2022-01-18-09:25,170.81
698,2022-01-18-09:20,170.72
699,2022-01-18-09:15,170.78
700,2022-01-18-09:10,170.95
701,2022-01-18-09:05,170.77
702,2022-01-18-09:00,170.67
703,2022-01-18-08:55,170.68
704,2022-01-18-08:50,170.5
705,2022-01-18-08:45,170.4
706,2022-01-18-08:40,170.65
707,2022-01-18-08:35,170.7
708,2022-01-18-08:30,170.53
709,2022-01-18-08:25,170.35
710,2022-01-18-08:20,170.34
711,2022-01-18-08:15,170.5
712,2022-01-18-08:10,170.53
713,2022-01-18-08:05,170.65
714,2022-01-18-08:00,170.6
715,2022-01-18-07:55,170.6
716,2022-01-18-07:50,170.51
717,2022-01-18-07:45,170.3
718,2022-01-18-07:40,170.23
719,2022-01-18-07:35,170.1
720,2022-01-18-07:30,170.09
721,2022-01-18-07:25,170.01
722,2022-01-18-07:20,170.27
723,2022-01-18-07:15,170.44
724,2022-01-18-07:10,170.47
725,2022-01-18-07:05,170.39
726,2022-01-18-07:00,170.1
727,2022-01-18-06:55,170.03
728,2022-01-18-06:50,170.13
729,2022-01-18-06:45,170.25
730,2022-01-18-06:40,170.24
731,2022-01-18-06:35,170.1
732,2022-01-18-06:30,170.1
733,2022-01-18-06:25,170.16
734,2022-01-18-06:20,170.16
735,2022-01-18-06:15,170.0
736,2022-01-18-06:10,169.99
737,2022-01-18-06:05,169.65
738,2022-01-18-06:00,170.16
739,2022-01-18-05:50,170.11
740,2022-01-18-05:45,170.18
741,2022-01-18-05:40,170.25
742,2022-01-18-05:35,170.47
743,2022-01-18-05:30,170.35
744,2022-01-18-05:25,170.38
745,2022-01-18-05:20,170.21
746,2022-01-18-05:15,170.68
747,2022-01-18-05:10,170.37
748,2022-01-18-05:00,170.21
749,2022-01-18-04:55,170.45
750,2022-01-18-04:50,170.1
751,2022-01-18-04:45,169.7
752,2022-01-18-04:40,169.83
753,2022-01-18-04:35,169.81
754,2022-01-18-04:30,170.0
755,2022-01-18-04:25,169.7
